run	ls	alcatracks	duration	Bfield	mode	mode_flag	mode_text	pixeltracks
376686	1351	0	31488	0.0	???	GOOD	from_both_DB_and_S/N	0
376685	70	0	1606	0.0	???	GOOD	from_both_DB_and_S/N	0
376691	2267	0	52841	0.0	???	GOOD	from_both_DB_and_S/N	0
376690	5	0	96	0.0	???	GOOD	from_both_DB_and_S/N	0
376696	145	0	3371	0.0	???	GOOD	from_both_DB_and_S/N	0
376697	1084	0	25249	0.0	???	GOOD	from_both_DB_and_S/N	0
376698	1438	0	33519	0.0	???	GOOD	from_both_DB_and_S/N	0
376706	2162	0	50398	0.0	???	GOOD	from_both_DB_and_S/N	0
376727	2147	0	50035	0.0	???	GOOD	from_both_DB_and_S/N	0
376750	2033	0	47389	0.0	???	GOOD	from_both_DB_and_S/N	0
376784	1801	0	41974	0.0	???	GOOD	from_both_DB_and_S/N	0
376820	305	0	7103	0.0	???	GOOD	from_both_DB_and_S/N	0
376824	605	35270	14086	0.0	DECO	GOOD	from_both_DB_and_S/N	2909
376813	308	0	7152	0.0	???	GOOD	from_both_DB_and_S/N	0
376809	13	0	293	0.0	???	GOOD	from_both_DB_and_S/N	0
376825	110	6334	2547	0.0	DECO	GOOD	from_both_DB_and_S/N	563
376826	1501	74923	34972	0.0	DECO	GOOD	from_both_DB_and_S/N	6026
376827	87	4580	2018	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376829	1090	53995	25397	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376831	911	48460	21230	0.0	DECO	GOOD	from_both_DB_and_S/N	3921
376832	1614	88679	37604	0.0	DECO	GOOD	from_both_DB_and_S/N	7173
376834	93	4830	2159	0.0	DECO	GOOD	from_both_DB_and_S/N	403
376836	944	52281	21988	0.0	DECO	GOOD	from_both_DB_and_S/N	4325
376837	937	52643	21838	0.0	DECO	GOOD	from_both_DB_and_S/N	4316
376838	1562	75422	36388	0.0	DECO	GOOD	from_both_DB_and_S/N	6084
376839	78	2230	1807	0.0	DECO	GOOD	from_both_DB_and_S/N	200
376840	3	0	66	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376841	44	0	999	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376842	13	0	283	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376849	8	0	162	0.0	???	GOOD	from_both_DB_and_S/N	0
376854	5	2	87	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376856	87	488	2015	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376857	17	81	382	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376858	34	158	783	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376859	89	285	2045	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376860	23	10	502	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376861	26	388	593	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376862	200	3192	4656	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376865	22	329	494	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376869	14	0	314	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376870	3	0	50	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376871	30	0	686	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376872	21	0	470	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376874	26	378	591	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376876	26	374	587	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376878	26	391	601	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376879	3	0	50	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376883	1	6	12	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376884	62	0	1439	0.0	???	GOOD	from_both_DB_and_S/N	0
376885	183	0	4262	0.0	???	GOOD	from_both_DB_and_S/N	0
376886	46	0	1044	0.0	???	GOOD	from_both_DB_and_S/N	0
376887	342	0	7953	0.0	???	GOOD	from_both_DB_and_S/N	0
376888	244	0	5677	0.0	???	GOOD	from_both_DB_and_S/N	0
376889	59	0	1366	0.0	???	GOOD	from_both_DB_and_S/N	0
376890	1445	0	33665	0.0	???	GOOD	from_both_DB_and_S/N	0
376892	192	0	4455	0.0	???	GOOD	from_both_DB_and_S/N	0
376893	168	0	3900	0.0	???	GOOD	from_both_DB_and_S/N	0
376899	58	0	1332	0.0	???	GOOD	from_both_DB_and_S/N	0
376900	48	0	1119	0.0	???	GOOD	from_both_DB_and_S/N	0
376901	19	0	434	0.0	???	GOOD	from_both_DB_and_S/N	0
376902	25	0	565	0.0	???	GOOD	from_both_DB_and_S/N	0
376903	40	0	916	0.0	???	GOOD	from_both_DB_and_S/N	0
376904	97	0	2255	0.0	???	GOOD	from_both_DB_and_S/N	0
376907	62	0	1425	0.0	???	GOOD	from_both_DB_and_S/N	0
376910	116	0	2683	0.0	???	GOOD	from_both_DB_and_S/N	0
376912	7	0	154	0.0	???	GOOD	from_both_DB_and_S/N	0
376913	52	0	1200	0.0	???	GOOD	from_both_DB_and_S/N	0
376914	74	0	1703	0.0	???	GOOD	from_both_DB_and_S/N	0
376919	28	0	644	0.0	???	GOOD	from_both_DB_and_S/N	0
376920	123	0	2846	0.0	???	GOOD	from_both_DB_and_S/N	0
376922	17	0	393	0.0	???	GOOD	from_both_DB_and_S/N	0
376923	131	0	3045	0.0	???	GOOD	from_both_DB_and_S/N	0
376927	79	4380	1826	0.0	DECO	GOOD	from_both_DB_and_S/N	368
376928	1900	105597	44284	0.0	DECO	GOOD	from_both_DB_and_S/N	8779
376939	120	541	2773	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376943	52	280	1197	0.0	DECO	GOOD	from_both_DB_and_S/N	0
376944	138	0	3194	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376945	97	0	2239	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376946	8	0	184	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376950	32	0	696	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376951	63	0	1412	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376952	171	0	3909	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376953	101	0	2281	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376957	44	0	978	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376958	41	0	927	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376960	149	0	3433	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376963	96	0	2158	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376964	6	0	91	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376970	21	0	431	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376974	56	0	1294	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376975	5	243	57	0.0	DECO	GOOD	from_both_DB_and_S/N	30
376976	10	488	161	0.0	DECO	GOOD	from_both_DB_and_S/N	58
376977	131	7359	3032	0.0	DECO	GOOD	from_both_DB_and_S/N	599
376978	123	6935	2812	0.0	DECO	GOOD	from_both_DB_and_S/N	572
376979	664	37523	15456	0.0	DECO	GOOD	from_both_DB_and_S/N	3211
376980	1221	69704	28382	0.0	DECO	GOOD	from_both_DB_and_S/N	5886
